index,year,month,day,big_endian_date,little_endian_date,us_date,title,authors,first_author,second_author,pseudonym_of
3852,2005,7,10,2005-7-10,10/7/2005,7/10/2005,Eleven on Top,Janet Evanovich,Janet Evanovich,,
3853,2005,7,17,2005-7-17,17/7/2005,7/17/2005,Eleven on Top,Janet Evanovich,Janet Evanovich,,
3854,2005,7,24,2005-7-24,24/7/2005,7/24/2005,Eleven on Top,Janet Evanovich,Janet Evanovich,,
3855,2005,7,31,2005-7-31,31/7/2005,7/31/2005,Lifeguard,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3856,2005,8,7,2005-8-7,7/8/2005,8/7/2005,Lifeguard,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3857,2005,8,14,2005-8-14,14/8/2005,8/14/2005,Lifeguard,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3858,2005,8,21,2005-8-21,21/8/2005,8/21/2005,Lifeguard,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3859,2005,8,28,2005-8-28,28/8/2005,8/28/2005,The Da Vinci Code,Dan Brown,Dan Brown,,
3860,2005,9,4,2005-9-4,4/9/2005,9/4/2005,Chill Factor,Sandra Brown,Sandra Brown,,
3861,2005,9,11,2005-9-11,11/9/2005,9/11/2005,Point Blank,Catherine Coulter,Catherine Coulter,,
3862,2005,9,18,2005-9-18,18/9/2005,9/18/2005,Polar Shift,Clive Cussler and Paul Kemprecos,Clive Cussler ,Paul Kemprecos,
3863,2005,9,25,2005-9-25,25/9/2005,9/25/2005,Polar Shift,Clive Cussler and Paul Kemprecos,Clive Cussler ,Paul Kemprecos,
3864,2005,10,2,2005-10-2,2/10/2005,10/2/2005,The Da Vinci Code,Dan Brown,Dan Brown,,
3865,2005,10,9,2005-10-9,9/10/2005,10/9/2005,Anansi Boys,Neil Gaiman,Neil Gaiman,,
3866,2005,10,16,2005-10-16,16/10/2005,10/16/2005,A Breath of Snow and Ashes,Diana Gabaldon,Diana Gabaldon,,
3867,2005,10,23,2005-10-23,23/10/2005,10/23/2005,The Lincoln Lawyer,Michael Connelly,Michael Connelly,,
3868,2005,10,30,2005-10-30,30/10/2005,10/30/2005,Knife of Dreams,Robert Jordan,Robert Jordan,,
3869,2005,11,6,2005-11-6,6/11/2005,11/6/2005,At First Sight,Nicholas Sparks,Nicholas Sparks,,
3870,2005,11,13,2005-11-13,13/11/2005,11/13/2005,Predator,Patricia Cornwell,Patricia Cornwell,,
3871,2005,11,20,2005-11-20,20/11/2005,11/20/2005,Predator,Patricia Cornwell,Patricia Cornwell,,
3872,2005,11,27,2005-11-27,27/11/2005,11/27/2005,A Feast for Crows,George R. R. Martin,George R. R. Martin,,
3873,2005,12,4,2005-12-4,4/12/2005,12/4/2005,"Mary, Mary",James Patterson,James Patterson,,
3874,2005,12,11,2005-12-11,11/12/2005,12/11/2005,"Mary, Mary",James Patterson,James Patterson,,
3875,2005,12,18,2005-12-18,18/12/2005,12/18/2005,"Mary, Mary",James Patterson,James Patterson,,
3876,2005,12,25,2005-12-25,25/12/2005,12/25/2005,"""S"" Is for Silence",Sue Grafton,Sue Grafton,,
3877,2006,1,1,2006-1-1,1/1/2006,1/1/2006,"Mary, Mary",James Patterson,James Patterson,,
3878,2006,1,8,2006-1-8,8/1/2006,1/8/2006,"Mary, Mary",James Patterson,James Patterson,,
3879,2006,1,15,2006-1-15,15/1/2006,1/15/2006,"""S"" Is for Silence",Sue Grafton,Sue Grafton,,
3880,2006,1,22,2006-1-22,22/1/2006,1/22/2006,The Hostage,W. E. B. Griffin,W. E. B. Griffin,,
3881,2006,1,29,2006-1-29,29/1/2006,1/29/2006,The Da Vinci Code,Dan Brown,Dan Brown,,
3882,2006,2,5,2006-2-5,5/2/2006,2/5/2006,The Da Vinci Code,Dan Brown,Dan Brown,,
3883,2006,2,12,2006-2-12,12/2/2006,2/12/2006,Cell,Stephen King,Stephen King,,
3884,2006,2,19,2006-2-19,19/2/2006,2/19/2006,Cell,Stephen King,Stephen King,,
3885,2006,2,26,2006-2-26,26/2/2006,2/26/2006,Cell,Stephen King,Stephen King,,
3886,2006,3,5,2006-3-5,5/3/2006,3/5/2006,The 5th Horseman,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3887,2006,3,12,2006-3-12,12/3/2006,3/12/2006,The 5th Horseman,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3888,2006,3,19,2006-3-19,19/3/2006,3/19/2006,The House,Danielle Steel,Danielle Steel,,
3889,2006,3,26,2006-3-26,26/3/2006,3/26/2006,The 5th Horseman,James Patterson and Maxine Paetro,James Patterson,Maxine Paetro,
3890,2006,4,2,2006-4-2,2/4/2006,4/2/2006,The Da Vinci Code,Dan Brown,Dan Brown,,
3891,2006,4,9,2006-4-9,9/4/2006,4/9/2006,The Da Vinci Code,Dan Brown,Dan Brown,,
3892,2006,4,16,2006-4-16,16/4/2006,4/16/2006,Gone,Jonathan Kellerman,Jonathan Kellerman,,
3893,2006,4,23,2006-4-23,23/4/2006,4/23/2006,Two Little Girls in Blue,Mary Higgins Clark,Mary Higgins Clark,,
3894,2006,4,30,2006-4-30,30/4/2006,4/30/2006,Two Little Girls in Blue,Mary Higgins Clark,Mary Higgins Clark,,
3895,2006,5,7,2006-5-7,7/5/2006,5/7/2006,Two Little Girls in Blue,Mary Higgins Clark,Mary Higgins Clark,,
3896,2006,5,14,2006-5-14,14/5/2006,5/14/2006,Two Little Girls in Blue,Mary Higgins Clark,Mary Higgins Clark,,
3897,2006,5,21,2006-5-21,21/5/2006,5/21/2006,Beach Road,James Patterson and Peter de Jonge,James Patterson,Peter de Jonge,
3898,2006,5,28,2006-5-28,28/5/2006,5/28/2006,Beach Road,James Patterson and Peter de Jonge,James Patterson,Peter de Jonge,
3899,2006,6,4,2006-6-4,4/6/2006,6/4/2006,Beach Road,James Patterson and Peter de Jonge,James Patterson,Peter de Jonge,
3900,2006,6,11,2006-6-11,11/6/2006,6/11/2006,At Risk,Patricia Cornwell,Patricia Cornwell,,
3901,2006,6,18,2006-6-18,18/6/2006,6/18/2006,The Husband,Dean Koontz,Dean Koontz,,
3902,2006,6,25,2006-6-25,25/6/2006,6/25/2006,The Husband,Dean Koontz,Dean Koontz,,
3903,2006,7,2,2006-7-2,2/7/2006,7/2/2006,The Husband,Dean Koontz,Dean Koontz,,
3904,2006,7,9,2006-7-9,9/7/2006,7/9/2006,Twelve Sharp,Janet Evanovich,Janet Evanovich,,
3905,2006,7,16,2006-7-16,16/7/2006,7/16/2006,Twelve Sharp,Janet Evanovich,Janet Evanovich,,
3906,2006,7,23,2006-7-23,23/7/2006,7/23/2006,Twelve Sharp,Janet Evanovich,Janet Evanovich,,
3907,2006,7,30,2006-7-30,30/7/2006,7/30/2006,Angels Fall,Nora Roberts,Nora Roberts,,
3908,2006,8,6,2006-8-6,6/8/2006,8/6/2006,Phantom,Terry Goodkind,Terry Goodkind,,
3909,2006,8,13,2006-8-13,13/8/2006,8/13/2006,Angels Fall,Nora Roberts,Nora Roberts,,
